t_ps,event,calib,p_valid,p_ready,p_data,ld_st,ld_name,ld_busy,ld_out,ui_st,ui_name,ui_out,ui_busy,p_en,p_rdy,p_wren,p_wdf_rdy,app_en,app_rdy,app_wdf_wren,app_wdf_rdy,app_rdv,mux_g,qsc,debug_clear,load_ack,load_reject,reason,agen,ack_d,st_valid_ui
2331555000.0 ps,P_FIRE,1,1,1,a11ce001,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2371551000.0 ps,P_FIRE,1,1,1,5e4714e1,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2411547000.0 ps,P_FIRE,1,1,1,c0ffee01,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2451555000.0 ps,P_FIRE,1,1,1,ab1e0001,1,RX,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2451567000.0 ps,LD_ST,1,0,0,ab1e0001,12,CRC_WAIT,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2451579000.0 ps,LD_ST,1,0,0,ab1e0001,2,DEC,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2451591000.0 ps,LD_ST,1,0,0,ab1e0001,11,WR_WAIT,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2451603000.0 ps,LD_ST,1,0,0,ab1e0001,3,WRITE,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2451615000.0 ps,UI_ST,1,0,0,ab1e0001,11,WR_WAIT,1,1,1,WR,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2451627000.0 ps,LD_ST,1,0,0,ab1e0001,3,WRITE,1,1,1,WR,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,00,ffffffff,0,0
2451639000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,2,RD,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2451651000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2451939000.0 ps,APP_RDV,1,0,0,ab1e0001,3,WRITE,1,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,00,ffffffff,0,0
2451951000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,4,HOLD,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2451963000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2451975000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2451987000.0 ps,UI_ST,1,0,0,ab1e0001,11,WR_WAIT,1,1,1,WR,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2451999000.0 ps,LD_ST,1,0,0,ab1e0001,3,WRITE,1,1,1,WR,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,00,ffffffff,0,0
2452011000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,2,RD,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452023000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452311000.0 ps,APP_RDV,1,0,0,ab1e0001,3,WRITE,1,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,00,ffffffff,0,0
2452323000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,4,HOLD,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452335000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452347000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452359000.0 ps,UI_ST,1,0,0,ab1e0001,11,WR_WAIT,1,1,1,WR,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2452371000.0 ps,LD_ST,1,0,0,ab1e0001,3,WRITE,1,1,1,WR,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,00,ffffffff,0,0
2452383000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,2,RD,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452395000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452683000.0 ps,APP_RDV,1,0,0,ab1e0001,3,WRITE,1,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,00,ffffffff,0,0
2452695000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,4,HOLD,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452707000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452719000.0 ps,UI_ST,1,0,0,ab1e0001,3,WRITE,1,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452731000.0 ps,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,1,WR,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2452743000.0 ps,MUX_G,1,0,1,ab1e0001,0,IDLE,0,1,1,WR,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,00,ffffffff,0,0
2452755000.0 ps,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,2,RD,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2452767000.0 ps,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2453055000.0 ps,APP_RDV,1,0,1,ab1e0001,0,IDLE,0,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,00,ffffffff,0,0
2453067000.0 ps,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,4,HOLD,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2453079000.0 ps,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2453091000.0 ps,UI_ST,1,0,1,ab1e0001,0,IDLE,0,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,00,ffffffff,0,0
2453103000.0 ps,MUX_G,1,0,1,ab1e0001,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,00,ffffffff,0,0
2491551000.0 ps,P_FIRE,1,1,1,00000004,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,00,ffffffff,0,0
2491563000.0 ps,LD_ST,1,0,0,00000004,4,DRAIN,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2491575000.0 ps,LD_ST,1,0,0,00000004,5,RD_ISSUE,1,0,0,IDLE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2491587000.0 ps,UI_ST,1,0,0,00000004,6,RD_WAIT,1,0,2,RD,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2491599000.0 ps,MUX_G,1,0,0,00000004,6,RD_WAIT,1,0,2,RD,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2491611000.0 ps,UI_ST,1,0,0,00000004,6,RD_WAIT,1,0,3,WAIT,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2491851000.0 ps,APP_RDV,1,0,0,00000004,6,RD_WAIT,1,0,3,WAIT,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,00,ffffffff,0,0
2491863000.0 ps,UI_ST,1,0,0,00000004,6,RD_WAIT,1,0,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2491875000.0 ps,UI_ST,1,0,0,00000004,7,COMMIT,1,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2491887000.0 ps,LOAD_ACK_RISE,1,0,0,00000004,8,OK,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,00,0000ffff,0,0
2491899000.0 ps,ST_VALID_UI_RISE,1,0,1,00000004,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,00,0000ffff,1,1
2581203000.0 ps,DEBUG_CLEAR_RISE,1,0,1,00000004,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,00,0000ffff,1,0
2581215000.0 ps,LOAD_ACK_FALL,1,0,1,00000000,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,00,ffffffff,0,0
2781363000.0 ps,DEBUG_CLEAR_FALL,1,0,1,00000000,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
