t_ps,event,calib,p_valid,p_ready,p_data,ld_st,ld_name,ld_busy,ld_out,ui_st,ui_name,ui_out,ui_busy,p_en,p_rdy,p_wren,p_wdf_rdy,app_en,app_rdy,app_wdf_wren,app_wdf_rdy,app_rdv,mux_g,qsc,debug_clear,load_ack,load_reject,reason,agen,ack_d,st_valid_ui
2329269000,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329281000,UI_ST,1,0,0,ab1e0001,3,WRITE,1,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329294000,UI_ST,1,0,0,ab1e0001,11,WR_WAIT,1,1,1,WR,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2329306000,LD_ST,1,0,0,ab1e0001,3,WRITE,1,1,1,WR,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,00,ffffffff,0,0
2329319000,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,2,RD,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329331000,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329369000,APP_RDV,1,0,0,ab1e0001,3,WRITE,1,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,00,ffffffff,0,0
2329381000,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,4,HOLD,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329394000,UI_ST,1,0,0,ab1e0001,3,WRITE,1,1,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329406000,UI_ST,1,0,0,ab1e0001,3,WRITE,1,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329419000,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,1,WR,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2329431000,MUX_G,1,0,1,ab1e0001,0,IDLE,0,1,1,WR,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,00,ffffffff,0,0
2329444000,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,2,RD,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329456000,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329494000,APP_RDV,1,0,1,ab1e0001,0,IDLE,0,1,3,WAIT,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,00,ffffffff,0,0
2329506000,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,4,HOLD,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329519000,UI_ST,1,0,1,ab1e0001,0,IDLE,0,1,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2329531000,UI_ST,1,0,1,ab1e0001,0,IDLE,0,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,00,ffffffff,0,0
2329544000,MUX_G,1,0,1,ab1e0001,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,00,ffffffff,0,0
2368981000,P_FIRE,1,1,1,00000004,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,00,ffffffff,0,0
2368994000,LD_ST,1,0,0,00000004,4,DRAIN,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2369006000,LD_ST,1,0,0,00000004,5,RD_ISSUE,1,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2369019000,UI_ST,1,0,0,00000004,6,RD_WAIT,1,0,2,RD,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,00,ffffffff,0,0
2369031000,MUX_G,1,0,0,00000004,6,RD_WAIT,1,0,2,RD,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2369044000,UI_ST,1,0,0,00000004,6,RD_WAIT,1,0,3,WAIT,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2369081000,APP_RDV,1,0,0,00000004,6,RD_WAIT,1,0,3,WAIT,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,00,ffffffff,0,0
2369094000,UI_ST,1,0,0,00000004,6,RD_WAIT,1,0,5,RSP,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2369106000,UI_ST,1,0,0,00000004,7,COMMIT,1,0,0,IDLE,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,00,ffffffff,0,0
2369119000,LOAD_ACK_RISE,1,0,0,00000004,8,OK,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,00,0000ffff,0,0
2369131000,ST_VALID_UI_RISE,1,0,1,00000004,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,00,0000ffff,1,1
2458494000,DEBUG_CLEAR_RISE,1,0,1,00000004,0,IDLE,0,0,0,IDLE,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,00,0000ffff,1,0
